State_Name,Crime_Index,Effective_Tax_Rate(%),avg_unemp_2022_%,Avg_Pop_Growth_%,avg_income,total_houses,avg_price,avg_ppsf,,Price_to_Income(how many yearly incomes for an average house.),Price_per_Sqft_to_Income(scaled properly).,Houses_per_Income(supply relative to income).
Rhode Island,94.0331492,1.63,3.216666667,0.36,105751.9817,7713,485470.5029,268.9788286,,4.590651592,0.002543487359,0.07293480349
South Carolina,62.7624309,0.57,3.258333333,1.65,68207.05664,23283,455628.1222,215.2699952,,6.680073069,0.003156124978,0.3413576416
South Dakota,71.0497238,1.31,2.066666667,1.02,81221,2343,428955.6539,206.6042276,,5.281339233,0.002543729178,0.02884721932
Tennessee,45.6353591,0.67,3.366666667,1.07,65054.75082,20560,485828.8666,218.4949864,,7.467999807,0.003358632286,0.3160414841
Texas,68.0662983,1.9,3.875,1.71,85856.51304,165452,449441.2044,197.0178613,,5.234794525,0.00229473402,1.9270757
Utah,85.6353591,0.57,2.3,1.63,109378.0805,11263,902599.2522,335.8005207,,8.252103607,0.003070089723,0.1029730998
Vermont,86.8508287,1.78,2.625,0.22,81112.72289,1644,556391.8084,238.8621163,,6.859488728,0.002944816889,0.0202680904
Virginia,86.961326,0.82,2.833333333,0.5,103971.8637,55390,522041.2778,234.5672862,,5.020986056,0.002256065034,0.5327402821
Washington,75.0276243,0.93,4.175,0.74,99918.09157,53497,702809.1304,359.5141371,,7.033852623,0.003598088509,0.5354085447
West Virginia,83.5359116,0.59,3.916666667,-0.3,63566.33468,8114,255632.8482,126.8195754,,4.021513108,0.001995074532,0.1276461832
Wisconsin,80.2209945,1.29,2.933333333,0.27,79387.05935,20932,339572.4246,172.4837086,,4.277427926,0.002172693006,0.2636701771
Wyoming,88.6187845,0.61,3.566666667,0.43,113605.5733,1880,751092.2766,291.9499955,,6.611403425,0.002569856275,0.01654848389
